,Name,LongName,Country,Sector,FullTimeEmployees,EnterpriseValue,EarningsQuarterlyGrowth,ProfitMargins
62,600519.SS,"Kweichow Moutai Co., Ltd.",China,Consumer Defensive,27005,2.14678E+12,0.089,0.48786998
63,600522.SS,"Jiangsu Zhongtian Technology Co., Ltd.",China,Industrials,12008,32153391104,0.27,0.04779
64,600547.SS,"Shandong Gold Mining Co., Ltd.",China,Basic Materials,16134,1.21164E+11,1.621,0.029189998
65,600570.SS,Hundsun Technologies Inc.,China,Technology,7357,98668404736,0.385,0.27253
66,600583.SS,"Offshore Oil Engineering Co., Ltd.",China,Energy,7800,14528517120,,0.02996
67,600585.SS,Anhui Conch Cement Company Limited,China,Basic Materials,47226,2.37082E+11,0.215,0.21583
68,600588.SS,"Yonyou Network Technology Co., Ltd.",China,Technology,17115,1.44203E+11,-0.342,0.08914
69,600606.SS,Greenland Holdings Corporation Limited,China,Real Estate,52576,3.67892E+11,-0.049,0.03156
70,600637.SS,"Shanghai Oriental Pearl Group Co., Ltd.",China,Communication Services,7609,21502781440,0.437,0.15829
71,600655.SS,"Shanghai Yuyuan Tourist Mart (Group) Co., Ltd.",China,Consumer Cyclical,8112,53126316032,0.301,0.076869994
72,600660.SS,"Fuyao Glass Industry Group Co., Ltd.",China,Consumer Cyclical,24460,81399250944,-0.44,0.12445
73,600674.SS,"Sichuan Chuantou Energy Co.,Ltd.",China,Utilities,611,48076075008,0.735,3.67607
74,600690.SS,"Haier Smart Home Co., Ltd.",China,Technology,99757,1.70738E+11,-0.412,0.03018
75,600703.SS,"Sanan Optoelectronics Co., Ltd.",China,Technology,12111,1.04573E+11,-0.071,0.13746999
76,600705.SS,"AVIC Capital Co.,Ltd",China,Financial Services,4738,1.21615E+11,0.077,0.21441
77,600741.SS,HUAYU Automotive Systems Company Limited,China,Consumer Cyclical,,70138765312,-0.228,0.03467
78,600745.SS,"Wingtech Technology Co.,Ltd",China,Technology,22467,1.40129E+11,5.956,0.05084
79,600760.SS,AVIC Shenyang Aircraft Company Limited,China,Industrials,14487,88036802560,0.079,0.053850003
80,600795.SS,"GD Power Development Co.,Ltd",China,Utilities,36162,3.09898E+11,0.547,0.00193
81,600809.SS,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",China,Consumer Defensive,9276,1.88556E+11,0.161,0.18879
82,600837.SS,"Haitong Securities Co., Ltd.",China,Financial Services,10598,1.30302E+11,0.822,0.31348
83,600848.SS,"Shanghai Lingang Holdings Co.,Ltd.",China,Real Estate,503,63102119936,0.027,0.40341
84,600867.SS,"Tonghua Dongbao Pharmaceutical Co., Ltd.",China,Healthcare,2706,28196102144,0.021,0.29121
85,600886.SS,"SDIC Power Holdings CO., LTD.",China,Utilities,9374,2.18074E+11,0.303,0.13787
86,600887.SS,"Inner Mongolia Yili Industrial Group Co., Ltd.",China,Consumer Defensive,59052,2.56257E+11,0.723,0.07432
87,600893.SS,"Aecc Aviation Power Co.,Ltd",China,Industrials,35218,1.06026E+11,0.01,0.04546
88,600900.SS,"China Yangtze Power Co.,Ltd.",China,Utilities,4129,5.41648E+11,-0.008,0.42234
89,600919.SS,"Bank of Jiangsu Co., Ltd.",China,Financial Services,15096,3.16132E+11,-0.051,0.52583003
90,600926.SS,"Bank of Hangzhou Co., Ltd.",China,Financial Services,8564,1.61845E+11,0.05,0.47852
91,600928.SS,"Bank of Xi'an Co.,Ltd.",China,Financial Services,3353,64355946496,-0.088,0.54631
92,600958.SS,Orient Securities Company Limited,China,Financial Services,5874,80946774016,,0.13444
93,600968.SS,CNOOC Energy Technology & Services Limited,China,Energy,15266,23316195328,-0.327,0.03371
94,600977.SS,"China Film Co.,Ltd.",China,Communication Services,4285,20827715584,,-0.02614
95,600989.SS,"Ningxia Baofeng Energy Group Co., Ltd.",China,Basic Materials,12626,84386889728,0.463,0.27489
96,600998.SS,"Jointown Pharmaceutical Group Co., Ltd.",China,Healthcare,25796,43718279168,0.64,0.02189
97,600999.SS,"China Merchants Securities Co., Ltd.",China,Financial Services,8648,2.13516E+11,0.844,0.37460998
98,601006.SS,"Daqin Railway Co., Ltd.",China,Industrials,96995,1.00607E+11,-0.255,0.15326001
99,601009.SS,"Bank of Nanjing Co., Ltd.",China,Financial Services,11537,1.44404E+11,-0.025,0.51602
100,601012.SS,"LONGi Green Energy Technology Co., Ltd.",China,Technology,32873,2.83863E+11,0.611,0.18974
101,601018.SS,Ningbo Zhoushan Port Company Limited,China,Industrials,16779,67813523456,-0.186,0.13915
102,601021.SS,"Spring Airlines Co., Ltd.",China,Industrials,8484,44691296256,,0.049429998
103,601066.SS,"CSC Financial Co., Ltd.",China,Financial Services,9321,3.27345E+11,2.122,0.417
